Character,Betweenness Centrality,Gender,,,
Shaka,0.736360868,M,,,
Dingiswayo,0.121612655,M,,Top 50,% of top 50
Zwide,0.088295204,M,Male,38,76
Senzangakona,0.07799466,M,Female,8,16
Mdlaka,0.073000143,M,Unspecified,4,8
Mgobozi,0.064742928,M,Total,50,
Matiwane,0.057387657,M,,,
Soshangane,0.047114395,M,,,
Nandi,0.040978131,F,,,
Mshweshwe,0.027677677,M,,,
Macingwane,0.023425235,M,,,
Dingane,0.023357553,M,,,
Zikode,0.02272578,M,,,
Ngomane,0.021099665,M,,,
Pampata,0.020406081,F,,,
Jacob Msimbiti,0.019891115,M,,,
Mashobane,0.016108636,M,,,
F. G. Farewell,0.015980815,U,,,
Dr Cowan,0.015960757,U,,,
Mbopa,0.015914467,M,,,
Pikwane,0.014380233,M,,,
Mzilikazi,0.013409602,M,,,
Mantatisi,0.012295315,F,,,
Ndlela,0.011698595,M,,,
Nzobo,0.011548205,M,,,
Gaza,0.011428571,M,,,
Kali,0.011428571,M,,,
Manyundela,0.011428571,M,,,
Mbiya,0.011428571,M,,,
Mshika,0.011428571,M,,,
Mtaniya,0.011428571,F,,,
Mudli,0.011428571,M,,,
Ncozana,0.011428571,M,,,
Nyanya,0.011428571,M,,,
Senzangakona's body servants,0.011428571,U,,,
Songqoza,0.011428571,M,,,
Zwangendaba,0.011428571,M,,,
Nqoboka,0.009776329,M,,,
Isaacs,0.009759231,M,,,
King,0.008553194,M,,,
Fynn,0.007165061,M,,,
Mfunda,0.006928053,F,,,
Mkabi,0.00616005,F,,,
Michael,0.005969201,M,,,
John,0.00544295,M,,,
Mbuzikazi,0.005429648,F,,,
Mhlangana,0.004872545,M,,,
Ngwadi,0.004487542,M,,,
Mbozamboza,0.003838361,U,,,
Mawa,0.003639997,F,,,
Ntombazi,0.002485531,,,,
Shaka's Son,0.002128023,,,,
Nomahlanjana,0.001964256,,,,
Bungane,0.001694742,,,,
Nomcoba,0.00148831,,,,
John Ross,0.001366552,,,,
Mpangazita,0.001366487,,,,
Mkabayi,0.000986598,,,,
Nomatuli,0.000487137,,,,
Malusi,0.000430213,,,,
Mtimkulu,0.000430213,,,,
Nobela,0.000398626,,,,
Ngoza,0.000314333,,,,
Kondlo,0.000294394,,,,
Sikunyana,0.000274924,,,,
Langazana,0.000240623,,,,
Ntombazana,0.000237548,,,,
Sigujana,0.000232231,,,,
Mmama,0.00021137,,,,
Mbikwane,0.000170772,,,,
Hutton,0.000146219,,,,
Zulu Commander,7.02E-05,,,,
Bakuza,0,,,,
Barend Barends,0,,,,
Beje,0,,,,
Bibi,0,,,,
Bizwayo,0,,,,
Butelezi warrior,0,,,,
Buza,0,,,,
Colonel Somerset,0,,,,
Dayingubo,0,,,,
Dlekezele,0,,,,
Donda,0,,,,
E-Langeni children,0,,,,
Faku,0,,,,
Gala,0,,,,
Gendeyana,0,,,,
Gijima,0,,,,
Girl in Shaka's harem,0,,,,
Hlambamanzi,0,,,,
Hlati,0,,,,
Hlatshwayo,0,,,,
Jobe,0,,,,
John Cane,0,,,,
Junior witch-doctor,0,,,,
King Jobe,0,,,,
Kondlwane,0,,,,
Lord Caledon,0,,,,
Mabuya,0,,,,
Major Cleote,0,,,,
Major Dundas,0,,,,
Makedama,0,,,,
Manukuza,0,,,,
Manyelela,0,,,,
Manyosi,0,,,,
Manzini,0,,,,
Mashaya,0,,,,
Master of the hunt,0,,,,
Mbengi,0,,,,
Mfusi,0,,,,
Mhlope,0,,,,
Mlandela,0,,,,
Mlota,0,,,,
Mlotsha,0,,,,
Moni,0,,,,
Mpande,0,,,,
Mpepa,0,,,,
Mpikase,0,,,,
Mqalane,0,,,,
Mqombolo,0,,,,
Msika,0,,,,
Ncidi,0,,,,
Ndaba,0,,,,
Ndabazimbi,0,,,,
Ndwandwe Warrior,0,,,,
Ngonyama,0,,,,
Njikiza,0,,,,
Nkayishana Kuzwayo,0,,,,
Nkunzi-Yezindlovu,0,,,,
Noluju,0,,,,
Nomagwebu,0,,,,
Nomandlambi,0,,,,
Nombanga,0,,,,
Nombengula,0,,,,
Nomzintlanga,0,,,,
Nondlovu,0,,,,
Nowawa,0,,,,
Nqiwane,0,,,,
Ntombazi's Guards,0,,,,
Ntsense,0,,,,
Nxaba,0,,,,
Nzeni,0,,,,
Ogle,0,,,,
Pakade,0,,,,
Pakatwayo,0,,,,
Pampata's Guide,0,,,,
Pungashe,0,,,,
Rain-Maker,0,,,,
Royal Matron,0,,,,
Shandu,0,,,,
Sigananda Cube,0,,,,
Sigwegwe,0,,,,
Sikonyela,0,,,,
Sitayi,0,,,,
Siwangu,0,,,,
Sixoloba,0,,,,
Sobadli,0,,,,
Sobuza,0,,,,
Sogidi,0,,,,
Somapunga,0,,,,
Sondaba,0,,,,
Sotobe,0,,,,
Staff Induna,0,,,,
The giant,0,,,,
The nameless one,0,,,,
Thompson,0,,,,
W. Owen,0,,,,
Witch-doctor,0,,,,
Yengondlovu commander,0,,,,
Zikali,0,,,,
Zulu Attendants,0,,,,
Zulu Boys,0,,,,
Zulu Bride,0,,,,
Zulu Hunters,0,,,,
Zulu Messenger,0,,,,
Zulu Runner,0,,,,
