Source,Target,Type,Weight,Friendly/Hostile,Pages
1,2,undirected,1,Friendly,12
3,4,undirected,1,Friendly,12
5,6,undirected,1,Friendly,12
5,2,undirected,1,Friendly,12
7,2,undirected,3,Friendly,"12, 14, 59"
7,1,undirected,1,Friendly,12
7,5,undirected,1,Friendly,12
8,2,undirected,5,Friendly,"13, 41, 59, 159, 289"
8,1,undirected,1,Friendly,13
9,10,undirected,1,Hostile,13
2,10,undirected,14,Friendly,"13, 14, 41, 51, 65, 160, 197, 198, 215, 269, 270, 287, 309, 311"
10,1,undirected,2,Friendly,"13, 54"
10,1,undirected,1,Hostile,13
2,1,undirected,1,Hostile,13
12,7,undirected,2,Friendly,"14, 199"
11,7,undirected,1,Friendly,14
10,7,undirected,1,Friendly,14
10,12,undirected,1,Friendly,14
10,11,undirected,3,Friendly,"14, 59, 197"
2,11,undirected,2,Friendly,"14, 197"
2,12,undirected,2,Friendly,"14, 59"
11,12,undirected,1,Friendly,14
1,12,undirected,2,Friendly,"14, 59"
13,10,undirected,1,Friendly,15
14,10,undirected,1,Friendly,15
14,2,undirected,1,Friendly,15
14,15,undirected,1,Friendly,15
2,15,undirected,2,Friendly,"15, 59"
16,10,undirected,1,Friendly,17
16,1,undirected,1,Hostile,17
19,17,undirected,1,Friendly,18
18,17,undirected,1,Friendly,18
10,17,undirected,12,Friendly,"18, 19, 36, 58, 87, 117, 123, 132, 146, 314, 315, 346"
2,17,undirected,1,Friendly,18
10,20,undirected,4,Friendly,"20, 41, 53, 87"
21,18,undirected,1,Hostile,21
22,10,undirected,3,Friendly,"21, 23, 27"
8,10,undirected,3,Friendly,"21, 41, 65"
23,10,undirected,18,Friendly,"21, 23, 38, 41, 65, 68, 125, 157, 197, 201, 204, 259, 269, 270, 314, 318, 346, 346"
23,8,undirected,5,Friendly,"21, 37, 41, 59, 159"
24,21,undirected,1,Friendly,21
26,25,undirected,1,Friendly,21
26,21,undirected,1,Friendly,21
6,26,undirected,1,Hostile,22
