Source,Target,Type,Weight,Friendly/Hostile,Pages
1,2,undirected,1,Hostile,NA
1,7,undirected,1,Friendly,NA
1,8,undirected,1,Friendly,NA
1,12,undirected,2,Friendly,NA
1,16,undirected,1,Hostile,NA
1,33,undirected,1,Friendly,NA
1,34,undirected,1,Friendly,NA
1,21,undirected,2,Friendly,NA
1,17,undirected,1,Friendly,NA
1,50,undirected,1,Friendly,NA
1,49,undirected,1,Friendly,NA
1,51,undirected,1,Friendly,NA
1,55,undirected,1,Friendly,NA
1,54,undirected,1,Friendly,NA
1,3,undirected,1,Friendly,NA
1,42,undirected,1,Friendly,NA
2,5,undirected,1,Friendly,NA
2,7,undirected,3,Friendly,NA
2,8,undirected,5,Friendly,NA
2,11,undirected,2,Friendly,NA
2,12,undirected,2,Friendly,NA
2,14,undirected,1,Friendly,NA
2,15,undirected,2,Friendly,NA
2,17,undirected,1,Friendly,NA
2,23,undirected,10,Friendly,NA
2,20,undirected,2,Friendly,NA
2,3,undirected,1,Hostile,NA
2,28,undirected,2,Friendly,NA
2,61,undirected,1,Friendly,NA
2,107,undirected,1,Friendly,NA
2,108,undirected,1,Friendly,NA
2,57,undirected,1,Friendly,NA
2,27,undirected,1,Friendly,NA
2,113,undirected,1,Friendly,NA
2,110,undirected,1,Friendly,NA
2,148,undirected,1,Friendly,NA
2,149,undirected,1,Friendly,NA
2,150,undirected,2,Friendly,NA
2,131,undirected,1,Friendly,NA
3,4,undirected,1,Friendly,NA
5,6,undirected,1,Friendly,NA
5,7,undirected,1,Friendly,NA
6,26,undirected,1,Hostile,NA
7,12,undirected,2,Friendly,NA
7,11,undirected,1,Friendly,NA
7,8,undirected,1,Friendly,NA
7,23,undirected,1,Friendly,NA
7,61,undirected,1,Friendly,NA
8,23,undirected,5,Friendly,NA
8,20,undirected,1,Friendly,NA
8,15,undirected,1,Friendly,NA
8,12,undirected,1,Friendly,NA
8,61,undirected,1,Friendly,NA
8,110,undirected,1,Friendly,NA
8,150,undirected,1,Friendly,NA
11,12,undirected,1,Friendly,NA
11,108,undirected,1,Friendly,NA
11,23,undirected,1,Friendly,NA
11,107,undirected,2,Friendly,NA
11,54,undirected,3,Friendly,NA
11,129,undirected,2,Friendly,NA
11,113,undirected,1,Friendly,NA
12,23,undirected,1,Friendly,NA
14,15,undirected,1,Friendly,NA
15,50,undirected,1,Hostile,NA
15,23,undirected,2,Friendly,NA
15,113,undirected,1,Hostile,NA
16,115,undirected,1,Friendly,NA
16,121,undirected,1,Friendly,NA
16,122,undirected,1,Friendly,NA
16,57,undirected,1,Hostile,NA
17,19,undirected,1,Friendly,NA
17,18,undirected,1,Friendly,NA
17,21,undirected,3,Friendly,NA
17,28,undirected,2,Friendly,NA
17,27,undirected,2,Friendly,NA
17,53,undirected,1,Friendly,NA
17,57,undirected,2,Friendly,NA
17,59,undirected,1,Friendly,NA
17,23,undirected,2,Friendly,NA
18,21,undirected,1,Hostile,NA
20,23,undirected,2,Friendly,NA
20,41,undirected,1,Friendly,NA
21,24,undirected,1,Friendly,NA
21,26,undirected,1,Friendly,NA
21,31,undirected,1,Hostile,NA
21,22,undirected,2,Friendly,NA
21,27,undirected,2,Friendly,NA
21,28,undirected,2,Friendly,NA
21,35,undirected,1,Hostile,NA
21,37,undirected,1,Hostile,NA
21,39,undirected,1,Friendly,NA
21,42,undirected,2,Friendly,NA
21,48,undirected,1,Hostile,NA
