Id,Label,timeset,name,page introduced,gender,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,clustering,triangles,eigencentrality
1,,,Senzangakona,1,M,19,22,5,0.459318,0.504952,1211.105676,1,0.1603,0.160302,0.169118,23,0.290223
2,,,Nandi,12,F,26,60,5,0.464191,0.525905,628.631625,0,0.198568,0.198568,0.246667,74,0.348091
3,,,Mudli,12,M,4,4,5,0.413712,0.444476,174,1,0.058904,0.058906,0.5,3,0.105239
4,,,Ndaba,12,,1,1,6,0.293132,0.305905,0,1,0.003782,0.003782,0,0,0.006894
5,,,Mfunda,12,F,3,3,6,0.321691,0.345714,104.773846,2,0.019065,0.019065,0.333333,1,0.033604
6,,,Kondlo,12,,2,2,7,0.258112,0.273864,4.257937,2,0.001682,0.001682,0,0,0.004575
7,,,Mkabi,12,F,9,12,5,0.419664,0.459714,89.555729,1,0.096684,0.096685,0.638889,23,0.169251
8,,,Nomcoba,13,F,11,21,5,0.421687,0.465429,17.122619,0,0.105949,0.105949,0.545455,30,0.185939
9,,,E-Langeni children,13,M,1,1,5,0.399543,0.425429,0,0,0.03562,0.035622,0,0,0.06388
10,,,Shaka,12,M,113,286,4,0.662879,0.774762,11326.29344,0,0.554801,0.554783,0.03802,192,1
11,,,Mkabayi,14,F,10,17,5,0.422705,0.462571,11.01484,1,0.115093,0.115093,0.6,27,0.198093
12,,,Langazana,14,F,7,10,5,0.416667,0.453048,2.763131,1,0.091104,0.091106,0.857143,18,0.15905
13,,,Mbengi,15,M,1,1,5,0.399543,0.425429,0,0,0.03562,0.035622,0,0,0.06388
14,,,Gendeyana,17,M,3,3,5,0.406032,0.435429,0,0,0.053846,0.053847,1,3,0.095099
15,,,Ngwadi,17,M,7,9,5,0.412736,0.449714,49.91285,0,0.085292,0.085294,0.52381,11,0.148632
16,,,Macingwane,17,M,6,6,5,0.422705,0.454952,353.720413,0,0.061192,0.061193,0.266667,4,0.110521
17,,,Ngomane,18,M,12,29,5,0.454545,0.492095,308.946866,0,0.119921,0.119922,0.424242,28,0.213079
18,,,King Jobe,18,M,2,2,6,0.330189,0.348,0,2,0.0147,0.0147,1,1,0.02748
19,,,Mqombolo,18,M,1,1,6,0.313059,0.326286,0,0,0.0077,0.0077,0,0,0.013453
20,,,Mbiya,20,M,5,10,5,0.408879,0.442095,174,0,0.067492,0.067494,0.6,6,0.118701
21,,,Dingiswayo,21,M,20,36,5,0.471698,0.518286,1812.429434,2,0.109031,0.109032,0.122807,21,0.207392
22,,,Buza,21,M,2,5,5,0.417661,0.441143,0,2,0.04262,0.042622,1,1,0.077908
23,,,Pampata,21,F,21,54,5,0.452196,0.507333,296.964606,0,0.187561,0.187561,0.315789,60,0.325731
24,,,Bungane,21,M,2,2,6,0.324074,0.341619,13.166217,3,0.007407,0.007407,0,0,0.016038
25,,,Lord Caledon,21,,1,1,7,0.245442,0.255483,0,2,0.000458,0.000458,0,0,0.001841
26,,,Dr Cowan,21,,3,3,6,0.324675,0.345143,243.484091,2,0.007138,0.007138,0,0,0.015964
27,,,Nqoboka,23,M,14,41,5,0.451031,0.493524,140.646925,0,0.146651,0.146651,0.494505,45,0.256619
28,,,Mgobozi,23,M,24,67,5,0.462963,0.522095,952.426858,0,0.166875,0.166875,0.224638,62,0.298486
29,,,Ngonyama,24,M,2,4,5,0.400458,0.428286,0,0,0.038064,0.038065,1,1,0.068589
30,,,The nameless one,28,M,2,2,5,0.400458,0.428286,0,0,0.038064,0.038065,1,1,0.068589
31,,,Pungashe,33,M,3,3,5,0.425791,0.45019,0,2,0.049885,0.049886,1,3,0.09276
32,,,Butelezi warrior,33,M,1,1,5,0.399543,0.425429,0,0,0.03562,0.035622,0,0,0.06388
33,,,Sondaba,35,F,2,2,6,0.315884,0.333238,0,1,0.010999,0.010998,1,1,0.020418
34,,,Bakuza,35,M,2,2,6,0.315884,0.333238,0,1,0.010999,0.010998,1,1,0.020418
35,,,Nyanya,36,M,2,2,6,0.322284,0.339905,174,2,0.007029,0.007029,0,0,0.014858
