ID,Name,Page introduced,Gender
1,Senzangakona,NA,M
2,Nandi,NA,F
3,Mudli,NA,M
4,Ndaba,NA,
5,Mfunda,NA,F
6,Kondlo,NA,
7,Mkabi,NA,F
8,Nomcoba,NA,F
9,E-Langeni children,NA,M
11,Mkabayi,NA,F
12,Langazana,NA,F
13,Mbengi,NA,M
14,Gendeyana,NA,M
15,Ngwadi,NA,M
16,Macingwane,NA,M
17,Ngomane,NA,M
18,King Jobe,NA,M
19,Mqombolo,NA,M
20,Mbiya,NA,M
21,Dingiswayo,NA,M
22,Buza,NA,M
23,Pampata,NA,F
24,Bungane,NA,M
25,Lord Caledon,NA,
26,Dr Cowan,NA,
27,Nqoboka,NA,M
28,Mgobozi,NA,M
29,Ngonyama,NA,M
30,The nameless one,NA,M
31,Pungashe,NA,M
32,Butelezi warrior,NA,M
33,Sondaba,NA,F
34,Bakuza,NA,M
35,Nyanya,NA,M
36,Sogidi,NA,
37,Kali,NA,M
38,Shandu,NA,
39,Donda,NA,M
40,The giant,NA,M
41,Witch-doctor,NA,
42,Zwide,NA,M
43,Zwangendaba,NA,M
44,Nowawa,NA,F
45,Mlota,NA,M
46,Ntombazi,NA,F
47,Yengondlovu commander,NA,M
48,Nondlovu,NA,M
49,Bibi,NA,F
50,Sigujana,NA,M
51,Senzangakona's body servants,NA,
52,Hlati,NA,
53,Siwangu,NA,M
54,Dingane,NA,M
55,Mpikase,NA,F
56,Makedama,NA,M
57,Mdlaka,NA,M
58,Ncidi,NA,
59,Nzobo,NA,M
60,Sobadli,NA,
61,Nomzintlanga,NA,F
62,Nobela,NA,F
63,Mqalane,NA,M
64,Matiwane,NA,M
65,Mtimkulu,NA,M
66,Mpangazita,NA,M
67,Mantatisi,NA,F
68,Sikonyela,NA,
69,Mshweshwe,NA,M
70,Colonel Somerset,NA,
71,Zikali,NA,M
72,Ntombazana,NA,F
73,Malusi,NA,M
74,Nomatuli,NA,F
75,Mashobane,NA,M
76,Mzilikazi,NA,M
77,Nomahlanjana,NA,M
78,Ndlela,NA,M
79,Njikiza,NA,M
80,Manyosi,NA,M
81,Dlekezele,NA,
82,Ndwandwe Warrior,NA,
83,Staff Induna,NA,
84,Nkayishana Kuzwayo,NA,M
85,Nombengula,NA,M
86,Mpepa,NA,M
87,Sixoloba,NA,M
88,Dayingubo,NA,M
89,Mlandela,NA,M
90,Soshangane,NA,M
91,Zikode,NA,M
92,Gaza,NA,M
93,Manukuza,NA,
94,Hlatshwayo,NA,
95,Nxaba,NA,M
96,Noluju,NA,M
97,Pakatwayo,NA,M
98,Ncozana,NA,M
99,Moni,NA,
100,Manzini,NA,M
101,Mpande,NA,M
102,Sigananda Cube,NA,M
103,Nombanga,NA,M
104,Sikunyana,NA,M
105,Somapunga,NA,M
106,Ntombazi's Guards,NA,
107,Mmama,NA,F
108,Mawa,NA,F
109,Gijima,NA,F
110,Mbuzikazi,NA,F
111,Zulu Hunters,NA,
112,Master of the hunt,NA,
113,Mbopa,NA,M
114,Sitayi,NA,M
115,Ngoza,NA,M
116,Sigwegwe,NA,M
117,Jobe,NA,M
118,Zulu Messenger,NA,
119,Mshika,NA,M
120,Kondlwane,NA,M
121,Mfusi,NA,M
122,Pakade,NA,M
123,Nzeni,NA,M
124,Junior witch-doctor,NA,M
125,Ndabazimbi,NA,
126,Songqoza,NA,M
127,Ntsense,NA,
128,Nqiwane,NA,
129,Mhlangana,NA,M
130,F. G. Farewell,NA,
131,Fynn,NA,M
132,Mhlope,NA,
133,Mbikwane,NA,M
134,Zulu Commander,NA,M
135,Jacob Msimbiti,NA,M
136,W. Owen,NA,
137,Thompson,NA,
138,Michael,NA,M
139,Isaacs,NA,M
140,Msika,NA,
141,Hlambamanzi,NA,
142,King,NA,M
143,Rain-Maker,NA,
144,John Ross,NA,M
145,Hutton,NA,M
146,Mtaniya,NA,F
147,Manyelela,NA,
148,Royal Matron,NA,F
149,Nomagwebu,NA,F
150,Shaka's Son,NA,M
151,Zulu Runner,NA,
152,Mashaya,NA,M
153,Beje,NA,M
154,Mlotsha,NA,M
155,John,NA,M
156,Zulu Bride,NA,F
157,Sobuza,NA,M
158,Barend Barends,NA,
159,Gala,NA,M
160,Girl in Shaka's harem,NA,F
161,Sotobe,NA,
162,Pikwane,NA,M
163,Bizwayo,NA,
164,Mbozamboza,NA,
165,Major Cleote,NA,M
166,Faku,NA,M
167,Manyundela,NA,M
168,Mabuya,NA,
169,Ogle,NA,M
170,Major Dundas,NA,M
171,Zulu Boys,NA,M
172,Nkunzi-Yezindlovu,NA,
173,John Cane,NA,M
174,Nomandlambi,NA,M
175,Zulu Attendants,NA,
176,Pampata's Guide,NA,
